Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2010,49,44,Texas,32.70%,32.10%,26.90%,"5,066,957","4,979,870",15514007.00,18487369.00,13.50%,"164,507","247,136","104,763","473,167",
2012,49,44,Texas,,49.60%,41.70%,,"7,993,851",16119973.00,19185395.00,13.50%,"157,564","405,473","112,288","484,753",
2014,49,44,Texas,,28.30%,23.80%,,"4,727,208",16675420.00,19847831.00,13.50%,"157,361","388,101","111,412","486,110",
1980,0,0,United States,0.00%,54.20%,52.60%,,"86,515,221",159635102.00,164445475.00,3.50%,"324,410","618,471","168,331","801,977","1,803,021"
1984,0,0,United States,0.00%,55.20%,53.30%,,"92,652,680",167701904.00,173994610.00,4.30%,"454,092","1,012,936","204,686","1,165,246","2,360,867"
1986,0,0,United States,0.00%,38.10%,36.50%,,"64,991,128",170396029.00,177922330.00,4.70%,"535,547","1,177,814","242,663","1,367,117","2,216,053"
1988,0,0,United States,0.00%,52.80%,50.30%,,"91,594,691",173579281.00,181955484.00,5.10%,"616,785","1,319,935","317,223","1,593,976","2,527,370"
1990,0,0,United States,0.00%,38.40%,36.50%,,"67,859,189",176629259.00,186158841.00,5.50%,"761,106","1,489,999","395,140","1,901,246","2,659,455"
1992,0,0,United States,0.00%,58.10%,54.70%,,"104,405,155",179655523.00,190777923.00,6.00%,"866,945","1,648,767","491,856","2,183,185","2,417,648"
1994,0,0,United States,0.00%,41.10%,38.50%,,"75,105,860",182623348.00,195258350.00,6.40%,"1,037,855","1,778,797","513,686","2,440,940","2,228,514"
1996,0,0,United States,,51.70%,48.10%,,"96,262,935",186347044.00,200015917.00,6.80%,"1,162,253","1,865,990","491,165","2,586,413","2,499,256"
1998,0,0,United States,39.30%,38.10%,35.30%,"74,825,832","72,537,000",190419570.00,205313182.00,7.30%,"1,285,469","2,236,975","515,924","2,919,881","2,937,000"
2000,0,0,United States,55.30%,54.20%,50.00%,"107,390,107","105,375,486",194331436.00,210623408.00,7.70%,"1,377,013","2,339,388","536,039","3,082,746","2,937,000"
2002,0,0,United States,40.50%,39.50%,36.30%,"80,295,249","78,381,943",198381939.00,215461549.00,8.00%,"1,456,927","2,451,708","485,282","3,168,063","3,308,145"
2004,0,0,United States,60.70%,60.10%,55.40%,"123,535,883","122,294,978",203483455.00,220336019.00,8.20%,"1,490,169","2,387,283","474,632","3,158,443","3,862,836"
2006,0,0,United States,41.30%,40.40%,37.20%,"85,769,132","83,815,592",207643594.00,225485399.00,8.60%,"1,566,526","2,418,574","587,305","3,363,118","4,417,527"
2008,0,0,United States,62.20%,61.60%,56.90%,"132,609,063","131,304,731",213313508.00,230872030.00,8.40%,"1,605,448","2,451,085","627,680","3,144,831","4,972,217"
2010,0,0,United States,41.80%,41.00%,37.80%,"90,912,015","89,099,476",217551109.00,236022989.00,8.50%,"1,512,225","1,321,051","629,644","3,244,035","4,972,217"
2012,0,0,United States,58.60%,58.00%,53.60%,"130,292,355","129,070,906",222474111.00,240957993.00,8.40%,"1,473,412","2,342,582","637,410","3,352,390","5,127,418"
2014,0,0,United States,36.70%,36.00%,33.20%,"83,262,122","81,687,059",227157964.00,245712915.00,8.40%,"1,493,706","2,298,993","548,576","3,329,718","5,345,814"
1982,0,0,United States (Excl. Louisiana),0.00%,42.10%,40.70%,,"67,615,576",160466919.00,166027633.00,4.00%,"399,102","789,951","165,559","959,637","1,981,895"
1980,67,45,Utah,66.60%,66.00%,64.60%,"609,691","604,222",915484.00,934767.00,2.10%,0,0,0,0,
1982,67,45,Utah,55.80%,55.10%,53.90%,"537,207","530,802",962724.00,984073.00,2.20%,0,0,0,0,
1984,67,45,Utah,64.30%,63.00%,61.60%,"641,846","629,656",998820.00,1022083.00,2.30%,0,0,0,0,
1986,67,45,Utah,43.50%,42.50%,41.50%,"445,499","435,111",1024337.00,1049339.00,2.40%,0,0,0,0,
1988,67,45,Utah,63.40%,62.00%,60.50%,"661,546","647,008",1043170.00,1069800.00,2.50%,0,0,0,0,
1990,67,45,Utah,42.20%,40.70%,39.60%,"457,983","442,213",1086050.00,1116922.00,2.80%,0,0,0,0,
1992,67,45,Utah,67.50%,64.00%,61.80%,"784,988","743,999",1162363.00,1203861.00,3.40%,0,0,0,0,
1994,67,45,Utah,42.70%,41.50%,39.80%,"532,737","517,790",1248726.00,1302522.00,4.10%,0,0,0,0,
1996,67,45,Utah,52.10%,50.20%,47.70%,"691,016","665,629",1326919.00,1394017.00,4.80%,0,0,0,0,
1998,67,45,Utah,36.70%,35.80%,33.70%,"506,553","494,909",1381989.00,1467078.00,5.50%,"4,453",0,0,"4,453",
2000,67,45,Utah,54.80%,53.80%,50.30%,"784,582","770,754",1431668.00,1534950.00,6.10%,"5,632",0,0,"5,632",
2002,67,45,Utah,37.80%,37.00%,35.00%,"568,290","557,153",1504529.00,1601707.00,6.50%,"5,594",0,0,"5,594",
2004,67,45,Utah,59.80%,58.90%,54.70%,"942,010","927,844",1574463.00,1664066.00,6.80%,"5,802",0,0,"5,802",
2006,67,45,Utah,35.00%,34.30%,31.80%,"582,561","571,252",1664323.00,1752158.00,7.10%,"6,430",0,0,"6,430",
2008,67,45,Utah,57.10%,56.00%,51.80%,"971,185","952,370",1700286.00,1840087.00,7.20%,"6,552",0,0,"6,552","31,783"
2010,67,45,Utah,36.80%,36.30%,33.60%,"653,274","643,307",1772934.00,1914974.00,7.00%,"6,536",0,0,"6,807",
2012,67,45,Utah,56.10%,55.50%,51.40%,"1,028,786","1,017,440",1833339.00,1978956.00,7.00%,"6,611",0,0,"6,611",
2014,67,45,Utah,30.30%,29.70%,27.50%,"577,973","565,970",1905801.00,2054936.00,6.90%,"6,824",0,0,"6,824",
1980,6,46,Vermont,59.30%,58.70%,57.80%,"215,500","213,299",363143.00,369147.00,1.60%,0,0,0,0,
1982,6,46,Vermont,46.10%,45.40%,44.60%,"172,084","169,251",372982.00,379067.00,1.60%,0,0,0,0,
1984,6,46,Vermont,61.60%,61.50%,60.50%,"235,140","234,561",381479.00,387620.00,1.60%,0,0,0,0,
1986,6,46,Vermont,54.30%,50.50%,49.70%,"211,709","196,716",389843.00,396034.00,1.60%,0,0,0,0,
1988,6,46,Vermont,66.70%,60.10%,59.20%,"270,148","243,328",404795.00,411136.00,1.50%,0,0,0,0,
1990,6,46,Vermont,52.30%,50.90%,50.10%,"217,384","211,422",415564.00,422130.00,1.60%,0,0,0,0,
1992,6,46,Vermont,69.70%,69.00%,67.90%,"292,797","289,701",419810.00,426860.00,1.70%,0,0,0,0,
1994,6,46,Vermont,50.80%,49.50%,48.70%,"216,715","211,449",426953.00,434549.00,1.70%,0,0,0,0,
1996,6,46,Vermont,60.00%,59.30%,58.20%,"261,469","258,449",435687.00,443874.00,1.80%,0,0,0,0,
1998,6,46,Vermont,50.40%,49.00%,48.10%,"224,382","218,120",444772.00,453574.00,1.90%,0,0,0,0,
2000,6,46,Vermont,64.70%,64.10%,63.10%,"297,146","294,308",459174.00,463503.00,2.00%,0,0,0,0,
2002,6,46,Vermont,49.40%,48.80%,48.10%,"232,993","230,161",471403.00,472402.00,2.10%,0,0,0,0,
2004,6,46,Vermont,66.70%,66.30%,65.00%,"314,220","312,309",470754.00,480053.00,2.10%,0,0,0,0,
2006,6,46,Vermont,55.00%,54.90%,53.80%,"263,025","262,726",478247.00,487141.00,2.00%,0,0,0,0,
2008,6,46,Vermont,67.70%,67.30%,66.00%,"326,822","325,046",482677.00,492610.00,2.00%,0,0,0,0,"10,546"
2010,6,46,Vermont,49.80%,49.40%,48.50%,"243,617","241,605",488942.00,498254.00,1.90%,0,0,0,0,
2012,6,46,Vermont,61.20%,60.70%,59.60%,"301,793","299,290",493355.00,502242.00,1.80%,0,0,0,0,
2014,6,46,Vermont,40.80%,38.90%,38.10%,"202,445","193,087",495884.00,507304.00,2.30%,0,0,0,0,
1980,40,47,Virginia,,48.70%,47.50%,,"1,866,032",3830887.00,3927383.00,2.00%,"8,920","11,463","4,783","19,435",
1982,40,47,Virginia,,35.70%,34.70%,,"1,415,622",3960296.00,4076585.00,2.30%,"10,079","14,813","6,487","23,973",
1984,40,47,Virginia,,52.40%,50.70%,,"2,146,635",4100160.00,4234017.00,2.60%,"10,839","16,690","5,986","25,170",
1986,40,47,Virginia,,29.10%,28.10%,,"1,233,611",4240797.00,4394143.00,2.90%,"12,930","17,126","5,767","27,260",
1988,40,47,Virginia,,49.80%,47.90%,,"2,191,609",4396900.00,4571637.00,3.20%,"14,184","17,945","6,576","29,733",
1990,40,47,Virginia,,25.50%,24.50%,,"1,152,854",4512504.00,4715129.00,3.50%,"17,593","21,303","9,048","37,293",
1992,40,47,Virginia,,55.40%,52.70%,,"2,558,665",4622125.00,4856799.00,3.90%,"21,199","23,510","11,372","44,326",
1994,40,47,Virginia,,43.60%,41.30%,,"2,057,463",4718968.00,4983515.00,4.30%,"26,968","24,089","9,649","48,662",
1996,40,47,Virginia,51.30%,50.20%,47.30%,"2,468,229","2,416,642",4811632.00,5106297.00,4.70%,"27,655","29,620","9,918","52,383",
1998,40,47,Virginia,,23.40%,22.00%,,"1,148,861",4900523.00,5222121.00,5.20%,"30,276","30,576","6,700","52,264",
2000,40,47,Virginia,55.00%,54.00%,50.90%,"2,789,808","2,739,447",5069265.00,5389008.00,5.60%,"30,168","33,955","5,148","52,294",
2002,40,47,Virginia,32.30%,29.00%,26.90%,"1,661,915","1,489,422",5138270.00,5536511.00,6.00%,"34,733","40,359","4,530","59,443",
2004,40,47,Virginia,61.10%,60.60%,56.20%,"3,223,156","3,198,367",5277156.00,5699175.00,6.20%,"35,472","43,470","4,392","61,599",
2006,40,47,Virginia,44.50%,44.00%,40.60%,"2,398,589","2,370,445",5385522.00,5867219.00,6.70%,"36,688","48,144","4,499","65,259",
2008,40,47,Virginia,67.60%,67.00%,61.80%,"3,753,059","3,723,260",5555415.00,6022123.00,6.60%,"38,276","53,614","4,471","67,319","124,689"
2010,40,47,Virginia,39.10%,38.70%,35.40%,"2,214,505","2,189,841",5660589.00,6194717.00,7.10%,"36,020","56,654","2,624","95,376",
2012,40,47,Virginia,66.60%,66.10%,60.70%,"3,888,186","3,854,489",5834676.00,6348827.00,7.10%,"36,425","52,956","1,983","66,475",
2014,40,47,Virginia,36.80%,36.60%,33.70%,"2,194,346","2,184,473",5962456.00,6489957.00,7.10%,"36,943","54,966","1,732","69,456",
1980,73,48,Washington,60.60%,59.60%,57.40%,"1,772,904","1,742,394",2923670.00,3037193.00,2.90%,"4,399","12,527","14,669","25,332",
1982,73,48,Washington,46.80%,45.60%,43.60%,"1,404,831","1,368,476",2999997.00,3138109.00,3.10%,"6,264","60,142","3,047","39,382",
1984,73,48,Washington,62.90%,61.30%,58.60%,"1,931,546","1,883,910",3072714.00,3213263.00,3.40%,"6,821","39,181","5,253","31,665",
1986,73,48,Washington,43.10%,42.40%,40.40%,"1,358,160","1,337,367",3151152.00,3310457.00,3.60%,"6,603","49,663","7,666","39,101",
1988,73,48,Washington,58.60%,56.80%,53.80%,"1,923,043","1,865,253",3282173.00,3465082.00,3.90%,"5,816","64,257","10,745","48,690",
1990,73,48,Washington,39.80%,38.40%,36.10%,"1,362,651","1,313,217",3421256.00,3634031.00,4.20%,"7,995","84,817","9,615","60,019",
1992,73,48,Washington,65.00%,64.00%,59.80%,"2,324,907","2,288,230",3575852.00,3827227.00,4.70%,"9,959","103,837","7,850","69,728",
1994,73,48,Washington,46.70%,45.80%,42.60%,"1,733,471","1,700,173",3715174.00,3994036.00,5.30%,"10,833","110,279","1,650","67,623",
1996,73,48,Washington,59.90%,58.90%,54.30%,"2,293,895","2,253,867",3829308.00,4147127.00,5.80%,"12,527","125,780",560,"75,977",
1998,73,48,Washington,49.30%,48.40%,44.30%,"1,939,421","1,902,482",3930400.00,4294765.00,6.40%,"14,161","152,140",375,"90,606",
2000,73,48,Washington,61.40%,60.70%,56.20%,"2,517,028","2,487,433",4098044.00,4419907.00,6.90%,"14,915","154,466",160,"92,308",
2002,73,48,Washington,43.50%,41.80%,37.90%,"1,808,720","1,739,116",4162032.00,4553733.00,7.30%,"16,284","171,603",95,"102,181",
2004,73,48,Washington,67.50%,66.90%,60.80%,"2,883,499","2,859,084",4272914.00,4683829.00,7.40%,"16,559","125,222",120,"79,290",
2006,73,48,Washington,47.30%,47.30%,42.70%,"2,085,074","2,083,734",4403981.00,4861001.00,8.00%,"17,561","108,076","11,568","83,167",
2008,73,48,Washington,67.30%,66.60%,60.30%,"3,071,587","3,036,878",4561163.00,5032960.00,7.80%,"17,926","113,134","11,768","80,377","138,296"
2010,73,48,Washington,54.30%,53.20%,48.40%,"2,565,589","2,511,094",4724350.00,5190736.00,8.30%,"17,331","15,452","6,956","37,165",
2012,73,48,Washington,65.80%,64.80%,58.60%,"3,172,939","3,125,516",4822060.00,5329782.00,8.20%,"16,355","88,339","8,895","72,070",
2014,73,48,Washington,43.10%,41.20%,37.10%,"2,123,901","2,029,189",4928407.00,5467270.00,8.40%,"17,345","94,112","9,880","79,928",
1980,56,49,West Virginia,53.50%,53.20%,52.80%,"742,150","737,715",1387231.00,1396595.00,0.50%,"1,257","2,650",475,"3,057",
1982,56,49,West Virginia,,40.40%,40.10%,,"565,314",1399303.00,1409116.00,0.40%,"1,547","2,711",610,"3,513",
1984,56,49,West Virginia,,52.90%,52.50%,,"735,742",1391427.00,1401733.00,0.40%,"1,579","3,597",724,"4,102",
1986,56,49,West Virginia,32.80%,29.90%,29.70%,"449,249","410,131",1370305.00,1380916.00,0.40%,"1,472","4,241",968,"4,561",
1988,56,49,West Virginia,,48.50%,48.10%,,"653,311",1347692.00,1358249.00,0.40%,"1,455","4,811",807,"4,668",
1990,56,49,West Virginia,,30.00%,29.80%,,"404,305",1347723.00,1358773.00,0.40%,"1,565","5,059","1,000","5,095",
1992,56,49,West Virginia,,50.10%,49.60%,,"683,762",1365368.00,1377282.00,0.50%,"1,674","5,688",988,"5,506",
1994,56,49,West Virginia,31.90%,30.50%,30.20%,"439,551","420,936",1379339.00,1392499.00,0.50%,"1,930","5,992","1,380","6,306",
1996,56,49,West Virginia,47.10%,45.90%,45.50%,"653,331","636,459",1386621.00,1400343.00,0.50%,"2,749","5,669",869,"6,453",
1998,56,49,West Virginia,29.20%,25.30%,25.00%,"405,139","351,277",1388176.00,1403549.00,0.50%,"3,478","6,511",975,"7,709",
2000,56,49,West Virginia,,46.60%,46.10%,,"648,124",1390365.00,1405021.00,0.60%,"3,856","6,216","1,112","8,076",
2002,56,49,West Virginia,31.50%,31.20%,30.80%,"440,156","436,183",1398124.00,1413580.00,0.60%,"4,703","6,430",999,"8,917",
2004,56,49,West Virginia,55.10%,54.10%,53.40%,"769,645","755,887",1396545.00,1425689.00,0.60%,"4,980","6,977","1,216","9,685",
2006,56,49,West Virginia,33.80%,32.80%,32.30%,"473,014","459,884",1401490.00,1439052.00,0.70%,"5,733","7,668","1,416","10,983",
2008,56,49,West Virginia,51.20%,49.90%,49.10%,"731,691","713,362",1430439.00,1453045.00,0.80%,"6,059","8,283","2,005","11,203","33,788"
2010,56,49,West Virginia,37.20%,36.80%,36.10%,"536,493","529,948",1442003.00,1468812.00,0.90%,"6,673","6,650","1,796","14,229",
2012,56,49,West Virginia,,46.30%,45.50%,,"670,438",1447066.00,1472642.00,0.80%,"7,052","8,573","2,052","13,648",
2014,56,49,West Virginia,32.00%,31.20%,30.70%,"462,864","451,498",1447652.00,1472594.00,0.80%,"6,873","7,174","2,749","13,639",
1980,25,50,Wisconsin,,68.40%,67.40%,,"2,273,221",3322053.00,3371087.00,1.00%,"3,980","19,088","2,639","16,163",
1982,25,50,Wisconsin,,46.90%,46.10%,,"1,580,344",3372875.00,3426394.00,1.00%,"4,714","19,603","3,125","17,641",
1984,25,50,Wisconsin,,64.90%,63.80%,,"2,211,689",3409202.00,3468053.00,1.10%,"4,974","22,426","3,853","20,040",
1986,25,50,Wisconsin,,44.50%,43.70%,,"1,526,960",3432034.00,3495584.00,1.20%,"5,736","24,648","3,854","21,914",
1988,25,50,Wisconsin,,62.80%,61.60%,,"2,191,608",3489742.00,3558322.00,1.30%,"6,353","26,305","4,128","23,634",
1990,25,50,Wisconsin,,39.00%,38.10%,,"1,379,727",3541548.00,3617625.00,1.40%,"7,465","29,370","4,099","26,249",
1992,25,50,Wisconsin,,69.90%,68.20%,,"2,531,114",3619273.00,3712414.00,1.60%,"8,191","40,424","5,560","33,963",
1994,25,50,Wisconsin,,42.40%,41.20%,,"1,565,628",3692668.00,3801543.00,1.80%,"10,022","45,901","7,065","40,038",
1996,25,50,Wisconsin,,58.40%,56.50%,,"2,196,169",3763240.00,3886906.00,2.00%,"12,991","47,292","8,222","44,859",
1998,25,50,Wisconsin,,46.30%,44.60%,,"1,760,836",3801514.00,3945060.00,2.20%,"18,613","54,232","9,282","55,011",
2000,25,50,Wisconsin,,67.60%,64.50%,,"2,598,607",3842044.00,4016401.00,2.40%,"20,612","53,242","9,923","57,156",
2002,25,50,Wisconsin,,45.40%,43.20%,,"1,775,349",3908088.00,4094028.00,2.60%,"22,366","54,614","11,088","60,761",
2004,25,50,Wisconsin,75.30%,74.80%,71.60%,"3,016,288","2,997,007",4006948.00,4172068.00,2.70%,"22,905","54,970","13,883","64,273",
2006,25,50,Wisconsin,53.70%,53.20%,50.80%,"2,183,155","2,161,700",4064432.00,4240696.00,2.90%,"23,431","55,806","15,907","67,241",
2008,25,50,Wisconsin,72.70%,72.40%,69.30%,"2,997,086","2,983,417",4120694.00,4306876.00,3.00%,"23,379","50,418","18,105","57,641","78,721"
2010,25,50,Wisconsin,52.40%,52.00%,49.70%,"2,185,021","2,171,331",4172130.00,4365214.00,3.20%,"22,724","22,602","19,572","55,112",
2012,25,50,Wisconsin,,72.90%,69.50%,,"3,068,434",4209370.00,4417273.00,3.20%,"21,987","46,328","20,023","66,564",
2014,25,50,Wisconsin,56.90%,56.60%,53.90%,"2,422,248","2,410,314",4260427.00,4470265.00,3.20%,"22,097","46,212","20,010","67,986",
1980,68,51,Wyoming,55.40%,54.10%,53.40%,"181,004","176,713",326644.00,330784.00,0.90%,534,940,154,"1,158",
1982,68,51,Wyoming,50.00%,49.00%,48.30%,"172,065","168,555",344218.00,349060.00,0.90%,702,"1,303",244,"1,598",
1984,68,51,Wyoming,57.90%,55.80%,54.90%,"196,153","188,968",338733.00,343957.00,1.00%,724,"1,708",352,"1,930",
1986,68,51,Wyoming,51.30%,50.10%,49.30%,"168,615","164,720",328971.00,334385.00,1.00%,861,"1,840",337,"2,118",
1988,68,51,Wyoming,59.20%,56.00%,55.10%,"186,417","176,551",315073.00,320695.00,1.00%,945,"2,186",333,"2,371",
1990,68,51,Wyoming,52.50%,51.20%,50.20%,"164,309","160,109",312961.00,319255.00,1.10%,"1,110","2,980",313,"2,913",
1992,68,51,Wyoming,62.80%,61.90%,60.60%,"203,602","200,617",324253.00,331170.00,1.10%,"1,063","3,310",404,"3,122",
1994,68,51,Wyoming,60.50%,59.80%,58.60%,"204,025","201,710",337032.00,344492.00,1.20%,"1,217","3,367",313,"3,214",
1996,68,51,Wyoming,62.50%,61.30%,59.90%,"215,844","211,571",345112.00,353354.00,1.30%,"1,499","3,432",364,"3,579",
1998,68,51,Wyoming,51.00%,49.90%,48.70%,"178,401","174,888",350136.00,359119.00,1.40%,"1,571","3,825",448,"3,932",
2000,68,51,Wyoming,61.40%,59.20%,58.20%,"221,685","213,726",361078.00,366639.00,1.50%,"1,680","4,115",514,"4,252",
2002,68,51,Wyoming,50.80%,50.10%,49.20%,"188,028","185,459",370488.00,376121.00,1.60%,"1,809","4,596",570,"4,677",
2004,68,51,Wyoming,66.30%,65.70%,63.70%,"245,789","243,428",370785.00,386796.00,1.70%,"1,923","4,418",563,"4,695",
2006,68,51,Wyoming,51.80%,51.10%,49.40%,"196,217","193,892",379127.00,400187.00,2.00%,"2,114","5,225",609,"5,336",
2008,68,51,Wyoming,63.10%,62.80%,60.90%,"256,035","254,658",405732.00,418040.00,1.70%,"2,084","5,438",727,"5,167","13,832"
2010,68,51,Wyoming,46.00%,45.50%,43.80%,"190,822","188,463",414536.00,430673.00,2.40%,"2,059","3,231",682,"5,684",
2012,68,51,Wyoming,59.00%,58.60%,56.40%,"250,701","249,061",425142.00,441726.00,2.50%,"2,163","5,162",762,"5,661",
2014,68,51,Wyoming,39.70%,39.00%,37.30%,"171,153","168,390",431434.00,451484.00,3.10%,"2,330","5,196",715,"5,955",
